current_location,current_work,previous_work,latest_Education,majro,search_school,major
"Brooklyn, New York, United States",Co-Founder at FARO Collective,,1998–2002,Industrial Design,Brown University,
"Boulder, Colorado, United States",President and CEO at Sustainable Power Systems,"President at Sustainable Automation, Inc.",+ 2 more,Mechanical Engineering,Brown University,
"Boulder, Colorado, United States",President and CEO at Sustainable Power Systems,"President at Sustainable Automation, Inc.",+ 2 more,,Brown University,
"Washington, District of Columbia, United States",President at Endurans™ Solar,"Board Member at Pharos Solar, LLC",University of Michigan - Stephen M. Ross School of Business,Emphasis on Marketing and Strategy,Brown University,
Colombia,Director de Tecnologías de Innovación at Banco Davivienda,Deputy Director at Ministerio de Tecnologías de la Información y las Comunicaciones,Brown University,"Business Administration and Management, General",Brown University,
"Charlotte, North Carolina, United States","SVP, Sr. Application Security Architect & Manager at Bank of America","VP, Cyber Resilience Lead at Bank of America",Brown University,Cyber Security,Brown University,
Greater Boston,Co-founder at MY-TAKE LLC,Chief Marketing Officer - PF Division at Jarden Corporation,Brown University,Technology Leadership,Brown University,
Singapore,Group Chief Financial Officer at Cloud Kinetics & Infofabrica,Founding Partner at Quvat Management Pte Ltd,1989–1993,Economics,Brown University,
"Omaha, Nebraska, United States",Chief Information Officer at Scooter's Coffee,Principal at Retail Digital Strategy,University of Nebraska at Omaha,Business & Information Technology,Brown University,
"Spring, Texas, United States","Global Head, Projects and Facilities Engineering at Hess Corporation",Head of Global Facilities at Hess Corporation,Brown University,Technology Leadership,Brown University,
Greater Boston,Chief Technology Officer at Intus Care,Software Engineer/Data Science Intern at Upserve,Brown University,Computer Science,Brown University,
"Charleston, South Carolina Metropolitan Area",Chief Strategy Officer at Dymicron,Chief Commercial Officer at Titan Spine,Brown University,International Relations and Political Science,Brown University,
Greater Boston,Chief Development Officer at Mint House,"Managing Director, Business Development & IR at Driftwood Capital",Brown University,Business/Economics,Brown University,
"Salem, Massachusetts, United States",Chief Operating Officer at Salem Glass Company,,Harvard Business School,Business/Managerial Economics,Brown University,
